hotel_name,rating,rating_description,review_count,star_rating,location,nearest_landmark,Distance_to_Landmark,Distance_to_Landmark(in_km),price_per_night,tax,city,state
Al Noor Palace,4,Very Good,290,,Triplicane ,Marina Beach,1.8 km ,1.8,2093,428,Chennai,Tamil Nadu
JS Five two By twinstar hotel,4,Very Good,68,,Raja Annamalai Puram,,,,3794,976,Chennai,Tamil Nadu
HOTEL HALEZ,4.3,Excellent,490,,Sholinganallur,,,,3800,456,Chennai,Tamil Nadu
Essentia Premier Hotel,4.1,Very Good,63,4,Thoraipakkam,,,,3989,479,Chennai,Tamil Nadu
ILARA Hotel & Spa,4,Very Good,785,3,Navallur,,,,2650,576,Chennai,Tamil Nadu
The Centrepoint OMR,3.8,Very Good,886,3,Sholinganallur,,,,3322,723,Chennai,Tamil Nadu
"KLASE HOTELS, GUINDY",3.3,Good,260,3,Mount road ,Chennai Airport,8.4 km ,8.4,2914,768,Chennai,Tamil Nadu
Just Guest House,4,Very Good,745,,Pazhavanthangal ,Chennai Airport,4.0 km ,4,3149,811,Chennai,Tamil Nadu
GRAND OLIVER,3.6,Very Good,490,,Poongavanapuram,,,,1243,302,Chennai,Tamil Nadu
"Pebbles Serviced Apartments
Like a 3",4.2,Very Good,179,,T Nagar,,,,2349,547,Chennai,Tamil Nadu
Mercure Chennai Sriperumbudur - An Accor Brand,4.2,Very Good,70,5,Oragadam ,city centre,43.0 km ,43,5900,,Chennai,Tamil Nadu
ZAITH RESIDENCY,3.4,Good,243,,Thousand Lights,,,,2355,635,Chennai,Tamil Nadu
Mount Kailash Suites,4,Very Good,422,3,Mount road ,Chennai Airport,9.2 km ,9.2,2516,615,Chennai,Tamil Nadu
The Mount City near US Consulate,3.6,Very Good,395,,Triplicane ,Marina Beach,2.9 km ,2.9,1748,460,Chennai,Tamil Nadu
"Country Inn and Suites by Radisson, Sahibabad",4.2,Very Good,15697,5,In Ghaziabad ,Delhi city centre,30.0 km ,30,6249,,New Delhi,Delhi
Radisson Blu Kaushambi Delhi NCR,4,Very Good,1826,5,In Ghaziabad ,Delhi city centre,28.0 km ,28,5039,605,New Delhi,Delhi
The Ashok,3.8,Very Good,5694,5,Chanakyapuri ,T1 - Delhi Airport (IGI Airport),9.8 km ,9.8,6288,,New Delhi,Delhi
Pride Plaza Hotel Aerocity New Delhi,4,Very Good,7275,5,Aerocity ,Indira Gandhi International Airport,4.0 km ,4,6499,780,New Delhi,Delhi
"Golden Tulip Vasundhara Hotel & Suites, Delhi NCR",3.9,Very Good,2057,4,In Ghaziabad ,Delhi city centre,31.0 km ,31,3386,871,New Delhi,Delhi
"Welcomhotel by ITC Hotels, Dwarka, New Delhi",4,Very Good,9348,5,Sector 10 Dwarka,,,,6223,,New Delhi,Delhi
