hotel_id,hotel_name
4597,Hotel Raj Villa
2093,Hotel President Inn
3444,Anantkoti
114,Workcoh Hostel
2510,Hotel Rosette
2116,The Crescent
91,Gracious Oyo 38425
4075,Mohit Guest House
1232,Delight Delhi Hotel
2751,Flagship Le Grand
1484,my hotel
1042,The Corus Hotel
4198,Hotel Almati Inn
813,OYO SilverKey
1294,Hôtel viva palace
4618,Hotel Shyama International
2474,Hotel Ambica Palace
3044,karon Hotel
3334,North Avenue Hotel
3526,OYO Shri Krishna Palace
1486,Hotel Delhi Aerocity (Purple Orchid)
1091,OYO Aman Hotel
1898,The Orion Plaza
1537,The Oakland Plaza
1289,Continental Plaza or Daya Continental
1371,KUNDAN PALACE
2599,The Singh Empire
1704,Clark Inn
1700,Aromatic @ city center
4288,Ritz hotel
1715,Hotel Shandon
760,OYO 14710 - Hotel Pallvi Palace
938,Royal Residence
4353,OYO Aakash Residency
2895,Hotel Richa Palace
2717,"Lemon Tree Premier, Delhi Airport"
1611,my home
4483,Royal Ashray
451,Golden Plate
3538,Hotel Sunshine Inn
4352,Hotel The Cube Stay
3961,Traditional Inn
790,Student's Inn
603,Oyo Flagship 77674
950,Solitaire Hotel
4553,Sun Villa Gurgaon
1171,Major's Den
3995,Jerry House
3200,Block q5
1553,Hotel Z
1039,Rainbow Residency
255,The Grace House
1673,Blue Pearl
512,Colonel‘s Retreat 2
1273,Radisson
3808,Dev Residency
74,Connaught Royale
1363,Emarald
4554,Silver Shine
44,The Prime Balaji Deluxe
2593,PK Residency
897,Goodwill Hotel
4243,Hotel Sky Rich International
600,Mi Casa Inn
4085,Hotel Elegant
3269,Hotel Paras
4057,Swisston Palace
2156,Amazone Residency Dlf Phase 3 Gurugram
427,Kaushal Palace
2096,Le Roi Express
606,Baikunth Kutter
495,Stay book jaibalaji
352,Fabhotel f9
2699,Blue Pearl Hotel
4081,MS Residency
961,OYO Singh Hotel
1412,Comfort Lodge
